attempt_id,user_id,session_id,attempted_at_utc,exercise_id,concept,mode,answer_type,difficulty,data_source,is_correct,response_time_ms,attempt_number
00000000-0000-0000-0000-000000000000-17,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-02T18:45:21.365839+00:00,mss-001,MSS,recognition,level,1,constructed,0,29591,1
00000000-0000-0000-0000-000000000000-18,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-02T18:45:58.460609+00:00,real-mss-009,MSS,recognition,level,2,real,0,32094,1
00000000-0000-0000-0000-000000000000-19,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-02T18:46:12.461917+00:00,ifvg-resp-001,IFVG,recognition,choice,2,constructed,0,9001,1
00000000-0000-0000-0000-000000000000-20,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-03T05:45:57.033149+00:00,real-mss-010,MSS,recognition,level,3,real,1,17840,1
00000000-0000-0000-0000-000000000000-21,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-03T05:46:27.538146+00:00,liq-001,Liquidity,recognition,level,1,constructed,0,25504,1
00000000-0000-0000-0000-000000000000-22,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-03T05:46:49.851730+00:00,fvg-resp-005,FVG,recognition,choice,3,constructed,0,17313,1
00000000-0000-0000-0000-000000000000-23,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-03T05:47:12.905447+00:00,real-mss-009,MSS,recognition,level,2,real,0,18053,1
00000000-0000-0000-0000-000000000000-24,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-03T05:47:31.859981+00:00,ob-001,OrderBlock,recognition,zone,1,constructed,1,13954,1
00000000-0000-0000-0000-000000000000-25,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-03T05:47:59.036055+00:00,real-liq-010,Liquidity,recognition,level,1,real,0,22176,1
00000000-0000-0000-0000-000000000000-26,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-03T05:48:19.939526+00:00,real-mss-008,MSS,recognition,level,1,real,0,15903,1
00000000-0000-0000-0000-000000000000-27,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-03T05:48:41.406243+00:00,mss-002,MSS,recognition,level,1,constructed,0,16466,1
00000000-0000-0000-0000-000000000000-28,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-03T05:48:58.115958+00:00,real-fvg-002,FVG,recognition,zone,2,real,1,11709,1
00000000-0000-0000-0000-000000000000-29,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-03T05:49:23.654854+00:00,real-fvg-007,FVG,recognition,zone,1,real,0,20538,1
00000000-0000-0000-0000-000000000000-30,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-04T01:57:47.215692+00:00,pd-003,PremiumDiscount,recognition,choice,2,constructed,1,44184,1
00000000-0000-0000-0000-000000000000-31,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-04T01:58:08.054421+00:00,mss-005,MSS,recognition,level,2,constructed,1,15838,1
00000000-0000-0000-0000-000000000000-32,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-04T01:58:36.780591+00:00,mss-002,MSS,recognition,level,1,constructed,1,23726,1
00000000-0000-0000-0000-000000000000-33,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-04T01:59:09.923092+00:00,tliq-002,TimeLiquidity,recognition,level,2,constructed,1,28142,1
00000000-0000-0000-0000-000000000000-34,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-04T01:59:38.664374+00:00,real-mss-007,MSS,recognition,level,1,real,0,23741,1
00000000-0000-0000-0000-000000000000-35,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-04T01:59:52.221497+00:00,real-liq-009,Liquidity,recognition,level,3,real,0,8557,1
00000000-0000-0000-0000-000000000000-36,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-04T02:00:25.809539+00:00,liq-004,Liquidity,recognition,level,2,constructed,0,28588,1
00000000-0000-0000-0000-000000000000-37,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-04T02:00:58.920054+00:00,ifvg-resp-005,IFVG,recognition,choice,3,constructed,0,28110,1
00000000-0000-0000-0000-000000000000-38,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-04T02:01:26.516113+00:00,real-mss-007,MSS,recognition,level,1,real,0,22596,1
00000000-0000-0000-0000-000000000000-39,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-04T02:01:53.651409+00:00,tliq-003,TimeLiquidity,recognition,level,1,constructed,1,22135,1
