attempt_id,user_id,session_id,attempted_at_utc,exercise_id,concept,mode,answer_type,difficulty,data_source,is_correct,response_time_ms,attempt_number
00000000-0000-0000-0000-000000000000-21,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-05T10:53:23.432910+00:00,real-liq-007,Liquidity,recognition,level,1,real,1,30012,1
00000000-0000-0000-0000-000000000000-22,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-05T10:53:50.923390+00:00,fvg-resp-005,FVG,recognition,choice,3,constructed,1,22490,1
00000000-0000-0000-0000-000000000000-23,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-05T10:54:11.702081+00:00,real-fvg-010,FVG,recognition,zone,1,real,1,15778,1
00000000-0000-0000-0000-000000000000-24,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-05T10:54:21.810091+00:00,liq-001,Liquidity,recognition,level,1,constructed,1,5108,1
00000000-0000-0000-0000-000000000000-25,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-05T10:54:31.603023+00:00,pd-003,PremiumDiscount,recognition,choice,2,constructed,1,4792,1
00000000-0000-0000-0000-000000000000-26,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-05T10:54:46.423012+00:00,ob-001,OrderBlock,recognition,zone,1,constructed,0,9819,1
00000000-0000-0000-0000-000000000000-27,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-05T10:55:09.201684+00:00,tliq-005,TimeLiquidity,recognition,level,3,constructed,1,17778,1
00000000-0000-0000-0000-000000000000-28,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-05T10:55:28.354639+00:00,ifvg-resp-001,IFVG,recognition,choice,2,constructed,0,14152,1
00000000-0000-0000-0000-000000000000-29,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-05T10:55:44.545180+00:00,tliq-003,TimeLiquidity,recognition,level,1,constructed,1,11190,1
00000000-0000-0000-0000-000000000000-30,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-06T22:42:09.308961+00:00,pd-001,PremiumDiscount,recognition,choice,1,constructed,1,11619,1
00000000-0000-0000-0000-000000000000-31,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-06T22:42:34.944422+00:00,fvg-resp-003,FVG,recognition,choice,2,constructed,1,20635,1
00000000-0000-0000-0000-000000000000-32,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-06T22:42:50.373079+00:00,real-mss-002,MSS,recognition,level,2,real,1,10428,1
00000000-0000-0000-0000-000000000000-33,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-06T22:43:36.337780+00:00,real-mss-007,MSS,recognition,level,1,real,0,40964,1
00000000-0000-0000-0000-000000000000-34,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-06T22:44:12.710779+00:00,ob-005,OrderBlock,recognition,zone,3,constructed,1,31372,1
00000000-0000-0000-0000-000000000000-35,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-06T22:44:40.657260+00:00,ob-001,OrderBlock,recognition,zone,1,constructed,1,22946,1
00000000-0000-0000-0000-000000000000-36,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-06T22:44:57.021939+00:00,tliq-004,TimeLiquidity,recognition,level,2,constructed,1,11364,1
00000000-0000-0000-0000-000000000000-37,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-06T22:45:21.958682+00:00,fvg-002,FVG,recognition,zone,1,constructed,1,19936,1
00000000-0000-0000-0000-000000000000-38,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-06T22:45:30.286427+00:00,real-fvg-004,FVG,recognition,zone,3,real,1,3327,1
00000000-0000-0000-0000-000000000000-39,00000000-0000-0000-0000-000000000000,s-0-4,2026-09-06T22:46:02.186275+00:00,fvg-resp-003,FVG,recognition,choice,2,constructed,1,26899,1
00000000-0000-0000-0000-000000000000-40,00000000-0000-0000-0000-000000000000,s-0-5,2026-09-08T04:30:38.541264+00:00,real-fvg-001,FVG,recognition,zone,1,real,1,18137,1
00000000-0000-0000-0000-000000000000-41,00000000-0000-0000-0000-000000000000,s-0-5,2026-09-08T04:30:57.430338+00:00,tliq-001,TimeLiquidity,recognition,level,1,constructed,1,13889,1
00000000-0000-0000-0000-000000000000-42,00000000-0000-0000-0000-000000000000,s-0-5,2026-09-08T04:31:15.027234+00:00,fvg-003,FVG,recognition,zone,2,constructed,0,12596,1
00000000-0000-0000-0000-000000000000-43,00000000-0000-0000-0000-000000000000,s-0-5,2026-09-08T04:31:30.480027+00:00,ob-003,OrderBlock,recognition,zone,2,constructed,1,10452,1
00000000-0000-0000-0000-000000000000-44,00000000-0000-0000-0000-000000000000,s-0-5,2026-09-08T04:31:45.817320+00:00,ifvg-003,IFVG,recognition,zone,3,constructed,1,10337,1
00000000-0000-0000-0000-000000000000-45,00000000-0000-0000-0000-000000000000,s-0-5,2026-09-08T04:32:05.521301+00:00,pd-001,PremiumDiscount,recognition,choice,1,constructed,1,14703,1
00000000-0000-0000-0000-000000000000-46,00000000-0000-0000-0000-000000000000,s-0-5,2026-09-08T04:32:15.869454+00:00,real-fvg-004,FVG,recognition,zone,3,real,1,5348,1
00000000-0000-0000-0000-000000000000-47,00000000-0000-0000-0000-000000000000,s-0-5,2026-09-08T04:32:50.401962+00:00,fvg-004,FVG,recognition,zone,2,constructed,1,29532,1
00000000-0000-0000-0000-000000000000-48,00000000-0000-0000-0000-000000000000,s-0-5,2026-09-08T04:33:07.625183+00:00,real-liq-010,Liquidity,recognition,level,1,real,1,12223,1
00000000-0000-0000-0000-000000000000-49,00000000-0000-0000-0000-000000000000,s-0-5,2026-09-08T04:33:26.948914+00:00,ob-005,OrderBlock,recognition,zone,3,constructed,1,14323,1
00000000-0000-0000-0000-000000000000-50,00000000-0000-0000-0000-000000000000,s-0-6,2026-09-09T10:54:08.503783+00:00,mss-004,MSS,recognition,level,2,constructed,0,19304,1
00000000-0000-0000-0000-000000000000-51,00000000-0000-0000-0000-000000000000,s-0-6,2026-09-09T10:54:25.410005+00:00,pd-003,PremiumDiscount,recognition,choice,2,constructed,1,11906,1
00000000-0000-0000-0000-000000000000-52,00000000-0000-0000-0000-000000000000,s-0-6,2026-09-09T10:54:40.600751+00:00,ifvg-002,IFVG,recognition,zone,1,constructed,1,10190,1
00000000-0000-0000-0000-000000000000-53,00000000-0000-0000-0000-000000000000,s-0-6,2026-09-09T10:55:06.708173+00:00,ifvg-resp-003,IFVG,recognition,choice,2,constructed,1,21107,1
00000000-0000-0000-0000-000000000000-54,00000000-0000-0000-0000-000000000000,s-0-6,2026-09-09T10:55:21.451930+00:00,fvg-resp-001,FVG,recognition,choice,1,constructed,1,9743,1
00000000-0000-0000-0000-000000000000-55,00000000-0000-0000-0000-000000000000,s-0-6,2026-09-09T10:55:36.040405+00:00,ifvg-005,IFVG,recognition,zone,3,constructed,1,9588,1
00000000-0000-0000-0000-000000000000-56,00000000-0000-0000-0000-000000000000,s-0-6,2026-09-09T10:56:14.541855+00:00,tliq-001,TimeLiquidity,recognition,level,1,constructed,1,33501,1
00000000-0000-0000-0000-000000000000-57,00000000-0000-0000-0000-000000000000,s-0-6,2026-09-09T10:56:35.959532+00:00,mss-001,MSS,recognition,level,1,constructed,1,16417,1
00000000-0000-0000-0000-000000000000-58,00000000-0000-0000-0000-000000000000,s-0-6,2026-09-09T10:56:50.050831+00:00,tliq-003,TimeLiquidity,recognition,level,1,constructed,1,9091,1
00000000-0000-0000-0000-000000000000-59,00000000-0000-0000-0000-000000000000,s-0-6,2026-09-09T10:57:02.060698+00:00,ob-005,OrderBlock,recognition,zone,3,constructed,1,7009,1
00000000-0000-0000-0000-000000000000-60,00000000-0000-0000-0000-000000000000,s-0-7,2026-09-10T13:08:35.298686+00:00,fvg-005,FVG,recognition,zone,3,constructed,0,16361,1
00000000-0000-0000-0000-000000000000-61,00000000-0000-0000-0000-000000000000,s-0-7,2026-09-10T13:08:57.017376+00:00,fvg-resp-005,FVG,recognition,choice,3,constructed,0,16718,1
00000000-0000-0000-0000-000000000000-62,00000000-0000-0000-0000-000000000000,s-0-7,2026-09-10T13:09:26.071008+00:00,real-mss-001,MSS,recognition,level,1,real,1,24053,1
00000000-0000-0000-0000-000000000000-63,00000000-0000-0000-0000-000000000000,s-0-7,2026-09-10T13:09:55.117676+00:00,ifvg-resp-004,IFVG,recognition,choice,2,constructed,0,24046,1
00000000-0000-0000-0000-000000000000-64,00000000-0000-0000-0000-000000000000,s-0-7,2026-09-10T13:10:15.767130+00:00,real-mss-002,MSS,recognition,level,2,real,0,15649,1
00000000-0000-0000-0000-000000000000-65,00000000-0000-0000-0000-000000000000,s-0-7,2026-09-10T13:10:32.292431+00:00,real-mss-005,MSS,recognition,level,2,real,1,11525,1
00000000-0000-0000-0000-000000000000-66,00000000-0000-0000-0000-000000000000,s-0-7,2026-09-10T13:10:56.228310+00:00,tliq-002,TimeLiquidity,recognition,level,2,constructed,1,18935,1
00000000-0000-0000-0000-000000000000-67,00000000-0000-0000-0000-000000000000,s-0-7,2026-09-10T13:11:40.775029+00:00,ob-002,OrderBlock,recognition,zone,1,constructed,0,39546,1
00000000-0000-0000-0000-000000000000-68,00000000-0000-0000-0000-000000000000,s-0-7,2026-09-10T13:12:04.715318+00:00,ifvg-resp-001,IFVG,recognition,choice,2,constructed,0,18940,1
00000000-0000-0000-0000-000000000000-69,00000000-0000-0000-0000-000000000000,s-0-7,2026-09-10T13:12:22.742571+00:00,real-liq-001,Liquidity,recognition,level,1,real,0,13027,1
00000000-0000-0000-0000-000000000000-70,00000000-0000-0000-0000-000000000000,s-0-8,2026-09-11T02:42:35.070299+00:00,tliq-004,TimeLiquidity,recognition,level,2,constructed,1,13480,1
00000000-0000-0000-0000-000000000000-71,00000000-0000-0000-0000-000000000000,s-0-8,2026-09-11T02:42:48.474030+00:00,fvg-003,FVG,recognition,zone,2,constructed,0,8403,1
00000000-0000-0000-0000-000000000000-72,00000000-0000-0000-0000-000000000000,s-0-8,2026-09-11T02:43:06.388375+00:00,mss-005,MSS,recognition,level,2,constructed,1,12914,1
00000000-0000-0000-0000-000000000000-73,00000000-0000-0000-0000-000000000000,s-0-8,2026-09-11T02:43:37.266132+00:00,ob-003,OrderBlock,recognition,zone,2,constructed,0,25877,1
00000000-0000-0000-0000-000000000000-74,00000000-0000-0000-0000-000000000000,s-0-8,2026-09-11T02:43:54.817279+00:00,liq-003,Liquidity,recognition,level,2,constructed,1,12551,1
00000000-0000-0000-0000-000000000000-75,00000000-0000-0000-0000-000000000000,s-0-8,2026-09-11T02:44:29.516264+00:00,ifvg-resp-001,IFVG,recognition,choice,2,constructed,1,29698,1
00000000-0000-0000-0000-000000000000-76,00000000-0000-0000-0000-000000000000,s-0-8,2026-09-11T02:45:03.458385+00:00,ob-001,OrderBlock,recognition,zone,1,constructed,0,28942,1
00000000-0000-0000-0000-000000000000-77,00000000-0000-0000-0000-000000000000,s-0-8,2026-09-11T02:45:22.846501+00:00,fvg-resp-002,FVG,recognition,choice,1,constructed,1,14388,1
00000000-0000-0000-0000-000000000000-78,00000000-0000-0000-0000-000000000000,s-0-8,2026-09-11T02:45:41.098046+00:00,real-fvg-007,FVG,recognition,zone,1,real,1,13251,1
00000000-0000-0000-0000-000000000000-79,00000000-0000-0000-0000-000000000000,s-0-8,2026-09-11T02:46:00.204715+00:00,ob-005,OrderBlock,recognition,zone,3,constructed,1,14106,1
00000000-0000-0000-0000-000000000000-80,00000000-0000-0000-0000-000000000000,s-0-9,2026-09-11T12:24:25.293817+00:00,pd-002,PremiumDiscount,recognition,choice,1,constructed,1,28015,1
00000000-0000-0000-0000-000000000000-81,00000000-0000-0000-0000-000000000000,s-0-9,2026-09-11T12:24:54.273263+00:00,fvg-001,FVG,recognition,zone,1,constructed,1,23979,1
00000000-0000-0000-0000-000000000000-82,00000000-0000-0000-0000-000000000000,s-0-9,2026-09-11T12:25:06.395366+00:00,liq-002,Liquidity,recognition,level,1,constructed,1,7122,1
00000000-0000-0000-0000-000000000000-83,00000000-0000-0000-0000-000000000000,s-0-9,2026-09-11T12:25:27.330717+00:00,fvg-005,FVG,recognition,zone,3,constructed,1,15935,1
00000000-0000-0000-0000-000000000000-84,00000000-0000-0000-0000-000000000000,s-0-9,2026-09-11T12:25:44.164170+00:00,pd-001,PremiumDiscount,recognition,choice,1,constructed,1,11833,1
00000000-0000-0000-0000-000000000000-85,00000000-0000-0000-0000-000000000000,s-0-9,2026-09-11T12:25:58.282363+00:00,liq-005,Liquidity,recognition,level,3,constructed,1,9118,1
00000000-0000-0000-0000-000000000000-86,00000000-0000-0000-0000-000000000000,s-0-9,2026-09-11T12:26:28.292593+00:00,real-fvg-002,FVG,recognition,zone,2,real,1,25010,1
00000000-0000-0000-0000-000000000001-0,00000000-0000-0000-0000-000000000001,s-1-1,2026-09-02T19:07:00.377450+00:00,real-fvg-004,FVG,recognition,zone,3,real,0,13454,1
00000000-0000-0000-0000-000000000001-1,00000000-0000-0000-0000-000000000001,s-1-1,2026-09-02T19:07:22.644760+00:00,real-mss-008,MSS,recognition,level,1,real,0,17267,1
00000000-0000-0000-0000-000000000001-2,00000000-0000-0000-0000-000000000001,s-1-1,2026-09-02T19:07:49.284186+00:00,real-mss-005,MSS,recognition,level,2,real,0,21639,1
00000000-0000-0000-0000-000000000001-3,00000000-0000-0000-0000-000000000001,s-1-1,2026-09-02T19:08:03.851839+00:00,liq-001,Liquidity,recognition,level,1,constructed,1,9567,1
00000000-0000-0000-0000-000000000001-4,00000000-0000-0000-0000-000000000001,s-1-1,2026-09-02T19:08:18.513637+00:00,real-liq-009,Liquidity,recognition,level,3,real,0,9661,1
00000000-0000-0000-0000-000000000001-5,00000000-0000-0000-0000-000000000001,s-1-1,2026-09-02T19:08:30.637547+00:00,pd-001,PremiumDiscount,recognition,choice,1,constructed,1,7123,1
00000000-0000-0000-0000-000000000001-6,00000000-0000-0000-0000-000000000001,s-1-1,2026-09-02T19:08:55.877047+00:00,ob-002,OrderBlock,recognition,zone,1,constructed,1,20239,1
00000000-0000-0000-0000-000000000001-7,00000000-0000-0000-0000-000000000001,s-1-1,2026-09-02T19:09:13.994883+00:00,ob-005,OrderBlock,recognition,zone,3,constructed,1,13117,1
00000000-0000-0000-0000-000000000001-8,00000000-0000-0000-0000-000000000001,s-1-1,2026-09-02T19:09:30.672496+00:00,real-fvg-010,FVG,recognition,zone,1,real,1,11677,1
00000000-0000-0000-0000-000000000001-9,00000000-0000-0000-0000-000000000001,s-1-1,2026-09-02T19:09:57.543284+00:00,fvg-004,FVG,recognition,zone,2,constructed,0,21870,1
00000000-0000-0000-0000-000000000001-10,00000000-0000-0000-0000-000000000001,s-1-2,2026-09-04T04:28:47.768922+00:00,ob-004,OrderBlock,recognition,zone,2,constructed,1,11599,1
00000000-0000-0000-0000-000000000001-11,00000000-0000-0000-0000-000000000001,s-1-2,2026-09-04T04:29:22.470759+00:00,fvg-resp-001,FVG,recognition,choice,1,constructed,0,29701,1
00000000-0000-0000-0000-000000000001-12,00000000-0000-0000-0000-000000000001,s-1-2,2026-09-04T04:29:37.811788+00:00,real-mss-003,MSS,recognition,level,3,real,0,10341,1
00000000-0000-0000-0000-000000000001-13,00000000-0000-0000-0000-000000000001,s-1-2,2026-09-04T04:29:55.921418+00:00,mss-004,MSS,recognition,level,2,constructed,1,13109,1
00000000-0000-0000-0000-000000000001-14,00000000-0000-0000-0000-000000000001,s-1-2,2026-09-04T04:30:08.297982+00:00,fvg-001,FVG,recognition,zone,1,constructed,1,7376,1
00000000-0000-0000-0000-000000000001-15,00000000-0000-0000-0000-000000000001,s-1-2,2026-09-04T04:30:27.622270+00:00,ob-001,OrderBlock,recognition,zone,1,constructed,1,14324,1
00000000-0000-0000-0000-000000000001-16,00000000-0000-0000-0000-000000000001,s-1-2,2026-09-04T04:30:44.686791+00:00,mss-003,MSS,recognition,level,3,constructed,0,12064,1
00000000-0000-0000-0000-000000000001-17,00000000-0000-0000-0000-000000000001,s-1-2,2026-09-04T04:31:04.359609+00:00,real-fvg-004,FVG,recognition,zone,3,real,0,14672,1
00000000-0000-0000-0000-000000000001-18,00000000-0000-0000-0000-000000000001,s-1-2,2026-09-04T04:31:24.807104+00:00,fvg-resp-001,FVG,recognition,choice,1,constructed,1,15447,1
00000000-0000-0000-0000-000000000001-19,00000000-0000-0000-0000-000000000001,s-1-2,2026-09-04T04:31:38.827659+00:00,mss-005,MSS,recognition,level,2,constructed,0,9020,1
00000000-0000-0000-0000-000000000001-20,00000000-0000-0000-0000-000000000001,s-1-3,2026-09-05T07:03:39.454668+00:00,mss-002,MSS,recognition,level,1,constructed,1,6023,1
00000000-0000-0000-0000-000000000001-21,00000000-0000-0000-0000-000000000001,s-1-3,2026-09-05T07:03:50.805939+00:00,real-mss-008,MSS,recognition,level,1,real,1,6351,1
00000000-0000-0000-0000-000000000001-22,00000000-0000-0000-0000-000000000001,s-1-3,2026-09-05T07:04:09.038966+00:00,mss-003,MSS,recognition,level,3,constructed,0,13233,1
00000000-0000-0000-0000-000000000001-23,00000000-0000-0000-0000-000000000001,s-1-3,2026-09-05T07:04:19.403237+00:00,liq-003,Liquidity,recognition,level,2,constructed,1,5364,1
00000000-0000-0000-0000-000000000001-24,00000000-0000-0000-0000-000000000001,s-1-3,2026-09-05T07:04:34.646050+00:00,liq-005,Liquidity,recognition,level,3,constructed,1,10242,1
00000000-0000-0000-0000-000000000001-25,00000000-0000-0000-0000-000000000001,s-1-3,2026-09-05T07:04:49.665339+00:00,ifvg-004,IFVG,recognition,zone,2,constructed,1,10019,1
00000000-0000-0000-0000-000000000001-26,00000000-0000-0000-0000-000000000001,s-1-3,2026-09-05T07:05:03.710927+00:00,real-fvg-006,FVG,recognition,zone,3,real,1,9045,1
00000000-0000-0000-0000-000000000001-27,00000000-0000-0000-0000-000000000001,s-1-3,2026-09-05T07:05:33.994461+00:00,real-fvg-006,FVG,recognition,zone,3,real,0,25283,1
00000000-0000-0000-0000-000000000001-28,00000000-0000-0000-0000-000000000001,s-1-3,2026-09-05T07:05:50.014361+00:00,real-fvg-004,FVG,recognition,zone,3,real,1,11019,1
00000000-0000-0000-0000-000000000001-29,00000000-0000-0000-0000-000000000001,s-1-3,2026-09-05T07:06:23.916578+00:00,real-fvg-008,FVG,recognition,zone,2,real,1,28902,1
00000000-0000-0000-0000-000000000001-30,00000000-0000-0000-0000-000000000001,s-1-4,2026-09-06T09:17:53.883479+00:00,real-mss-010,MSS,recognition,level,3,real,0,4721,1
00000000-0000-0000-0000-000000000001-31,00000000-0000-0000-0000-000000000001,s-1-4,2026-09-06T09:18:11.365325+00:00,real-mss-002,MSS,recognition,level,2,real,1,12481,1
00000000-0000-0000-0000-000000000001-32,00000000-0000-0000-0000-000000000001,s-1-4,2026-09-06T09:18:27.075914+00:00,fvg-resp-005,FVG,recognition,choice,3,constructed,1,10710,1
00000000-0000-0000-0000-000000000001-33,00000000-0000-0000-0000-000000000001,s-1-4,2026-09-06T09:18:45.896183+00:00,real-liq-009,Liquidity,recognition,level,3,real,1,13820,1
00000000-0000-0000-0000-000000000001-34,00000000-0000-0000-0000-000000000001,s-1-4,2026-09-06T09:18:55.489576+00:00,real-liq-002,Liquidity,recognition,level,2,real,1,4593,1
00000000-0000-0000-0000-000000000001-35,00000000-0000-0000-0000-000000000001,s-1-4,2026-09-06T09:19:24.685781+00:00,ifvg-004,IFVG,recognition,zone,2,constructed,1,24196,1
00000000-0000-0000-0000-000000000001-36,00000000-0000-0000-0000-000000000001,s-1-4,2026-09-06T09:19:55.993360+00:00,real-mss-001,MSS,recognition,level,1,real,1,26307,1
00000000-0000-0000-0000-000000000001-37,00000000-0000-0000-0000-000000000001,s-1-4,2026-09-06T09:20:21.260440+00:00,ifvg-resp-005,IFVG,recognition,choice,3,constructed,0,20267,1
00000000-0000-0000-0000-000000000001-38,00000000-0000-0000-0000-000000000001,s-1-4,2026-09-06T09:20:34.758020+00:00,real-fvg-008,FVG,recognition,zone,2,real,1,8497,1
00000000-0000-0000-0000-000000000001-39,00000000-0000-0000-0000-000000000001,s-1-4,2026-09-06T09:20:49.725003+00:00,real-mss-010,MSS,recognition,level,3,real,1,9966,1
00000000-0000-0000-0000-000000000001-40,00000000-0000-0000-0000-000000000001,s-1-5,2026-09-06T18:05:30.159943+00:00,real-liq-007,Liquidity,recognition,level,1,real,0,11463,1
00000000-0000-0000-0000-000000000001-41,00000000-0000-0000-0000-000000000001,s-1-5,2026-09-06T18:05:52.637932+00:00,ifvg-resp-001,IFVG,recognition,choice,2,constructed,1,17477,1
00000000-0000-0000-0000-000000000001-42,00000000-0000-0000-0000-000000000001,s-1-5,2026-09-06T18:06:18.891478+00:00,fvg-resp-004,FVG,recognition,choice,2,constructed,1,21253,1
00000000-0000-0000-0000-000000000001-43,00000000-0000-0000-0000-000000000001,s-1-5,2026-09-06T18:06:36.535759+00:00,real-liq-007,Liquidity,recognition,level,1,real,1,12644,1
00000000-0000-0000-0000-000000000001-44,00000000-0000-0000-0000-000000000001,s-1-5,2026-09-06T18:06:51.663872+00:00,real-mss-007,MSS,recognition,level,1,real,1,10128,1
00000000-0000-0000-0000-000000000001-45,00000000-0000-0000-0000-000000000001,s-1-5,2026-09-06T18:07:15.828486+00:00,liq-005,Liquidity,recognition,level,3,constructed,1,19164,1
00000000-0000-0000-0000-000000000001-46,00000000-0000-0000-0000-000000000001,s-1-5,2026-09-06T18:07:30.248032+00:00,liq-001,Liquidity,recognition,level,1,constructed,1,9419,1
00000000-0000-0000-0000-000000000001-47,00000000-0000-0000-0000-000000000001,s-1-5,2026-09-06T18:07:59.751712+00:00,ifvg-resp-005,IFVG,recognition,choice,3,constructed,0,24503,1
00000000-0000-0000-0000-000000000001-48,00000000-0000-0000-0000-000000000001,s-1-5,2026-09-06T18:08:13.614006+00:00,liq-004,Liquidity,recognition,level,2,constructed,0,8862,1
00000000-0000-0000-0000-000000000001-49,00000000-0000-0000-0000-000000000001,s-1-5,2026-09-06T18:08:32.841289+00:00,ob-003,OrderBlock,recognition,zone,2,constructed,1,14227,1
00000000-0000-0000-0000-000000000001-50,00000000-0000-0000-0000-000000000001,s-1-6,2026-09-07T08:08:20.993151+00:00,fvg-005,FVG,recognition,zone,3,constructed,0,19353,1
00000000-0000-0000-0000-000000000001-51,00000000-0000-0000-0000-000000000001,s-1-6,2026-09-07T08:08:41.058764+00:00,ob-003,OrderBlock,recognition,zone,2,constructed,1,15065,1
00000000-0000-0000-0000-000000000001-52,00000000-0000-0000-0000-000000000001,s-1-6,2026-09-07T08:09:02.048054+00:00,mss-002,MSS,recognition,level,1,constructed,1,15989,1
00000000-0000-0000-0000-000000000001-53,00000000-0000-0000-0000-000000000001,s-1-6,2026-09-07T08:09:25.737352+00:00,mss-001,MSS,recognition,level,1,constructed,0,18689,1
00000000-0000-0000-0000-000000000001-54,00000000-0000-0000-0000-000000000001,s-1-6,2026-09-07T08:09:48.974961+00:00,fvg-005,FVG,recognition,zone,3,constructed,1,18237,1
00000000-0000-0000-0000-000000000001-55,00000000-0000-0000-0000-000000000001,s-1-6,2026-09-07T08:10:07.356261+00:00,real-mss-010,MSS,recognition,level,3,real,1,13381,1
00000000-0000-0000-0000-000000000002-0,00000000-0000-0000-0000-000000000002,s-2-1,2026-09-02T23:09:20.141817+00:00,liq-005,Liquidity,recognition,level,3,constructed,0,16504,1
00000000-0000-0000-0000-000000000002-1,00000000-0000-0000-0000-000000000002,s-2-1,2026-09-02T23:09:51.758656+00:00,real-fvg-006,FVG,recognition,zone,3,real,1,26616,1
